1,15609,Abadh Assam Express,Guwahati,Lalgarh Junction
2,58719,Abhanpur Rajim NG Passenger,Abhanpur Junction,Rajim
3,58721,Abhanpur Rajim NG Passenger,Abhanpur Junction,Rajim
4,14722,Abohar Jodhpur Express,Abohar Junction,Jodhpur Junction
5,54703,Abohar Jodhpur Passenger,Abohar Junction,Jodhpur Junction
6,4722,Abohar Jodhpur Passenger Special,Abohar Junction,Jodhpur Junction
7,79438,Abu Road Mahesana DEMU,Abu Road,Mehsana Junction
8,9438,Abu Road Mahesana DEMU Special,Abu Road,Mehsana Junction
9,5348,Achhnera Kasganj Express Special,Achhnera Junction,Kasganj Junction
10,55338,Achhnera Kasganj Fast Passenger,Achhnera Junction,Kasganj Junction
11,22188,Adhartal Habibganj Intercity Express,Adhartal,Rani Kamlapati
12,2052,Adhartal Habibganj Intercity Super Fast Special,Adhartal,Habibganj
13,17409,Adilabad Hazur Sahib Nanded Express,Adilabad,Hazur Sahib Nanded
14,7409,Adilabad Hazur Sahib Nanded Festival Special,Adilabad,Hazur Sahib Nanded
15,7501,Adilabad Pandharpur Ekadashi Special,Adilabad,Pandharpur
16,7775,Adilabad Parli Vaijnath DEMU Special,Adilabad,Parli Vaijnath
17,57554,Adilabad Parli Vaijnath Passenger,Adilabad,Parli Vaijnath
18,57552,Adilabad Purna Passenger,Adilabad,Purna Junction
19,7851,Adilabad Purna Passenger,Adilabad,Purna Junction
20,58019,Adra - Asansol Passenger,Adra Junction,Asansol Junction
21,58621,Adra - Barkakana Passenger,Adra Junction,Barkakana Junction
22,58602,Adra - Kharagpur Passenger,Adra Junction,Kharagpur Junction
23,68045,Adra Asansol Memu,Adra Junction,Asansol Junction
24,68061,Adra Asansol MEMU,Adra Junction,Asansol Junction
25,68063,Adra Asansol MEMU,Adra Junction,Asansol Junction
26,68065,Adra Asansol MEMU,Adra Junction,Asansol Junction
27,68067,Adra Asansol MEMU,Adra Junction,Asansol Junction
28,68069,Adra Asansol MEMU,Adra Junction,Asansol Junction
29,8661,Adra Asansol MEMU Special,Adra Junction,Asansol Junction
30,68053,Adra Barabhum MEMU,Adra Junction,Barabhum
31,8647,Adra Barabhum MEMU Special,Adra Junction,Barabhum
32,8641,Adra Barkakana MEMU Special,Adra Junction,Barkakana Junction
33,68077,Adra Bhaga MEMU,Adra Junction,Bhaga
34,68075,Adra Bhojudih MEMU,Adra Junction,Bhojudih Junction
35,68082,Adra Bishnupur MEMU,Adra Junction,Bishnupur Junction
36,68084,Adra Bishnupur MEMU,Adra Junction,Bishnupur Junction
37,68098,Adra Garhbeta MEMU,Adra Junction,Garhbeta
38,68041,Adra Junction Barkakana,Adra Junction,Barkakana Junction
39,68071,Adra Khanudih MEMU,Adra Junction,Khanudih
40,68102,Adra Kharagpur Memu,Adra Junction,Kharagpur Junction
41,68090,Adra Midnapore MEMU,Adra Junction,Midnapore
42,8680,Adra Midnapore MEMU Special,Adra Junction,Midnapore
43,68057,Adra Purulia MEMU,Adra Junction,Purulia Junction
44,8649,Adra Purulia MEMU Special,Adra Junction,Purulia Junction
45,22862,Adra Shalimar Rajya Rani Express,Adra Junction,Kolkata Shalimar
46,79482,Adraj Moti Vijapur MG Rail Bus,Adraj Moti,Vijapur
47,79484,Adraj Moti Vijapur MG Rail Bus,Adraj Moti,Vijapur
48,52575,Agartala - Dharmanagar (Meter Gauge) Passenger,Darjeeling,Darjeeling Joy Ride
49,52579,Agartala - Dharmanagar (Meter Gauge) Passenger,Agartala,Dharmanagar
50,15696,Agartala - Lumding Express,Agartala,Lumding Junction (MG)
51,52563,Agartala - Silchar (Meter Gauge) Passenger,Agartala,Silchar
52,307,Agartala Ambala Cantonment Election Special,Agartala,Ambala Cantonment
53,20501,Agartala Anand Vihar Terminal Rajdhani Express,Agartala,Anand Vihar Terminus
54,2501,Agartala Anand Vihar Terminal Tejas Rajdhani Special,Agartala,Anand Vihar Terminus
55,2984,Agartala Bengaluru Cantonmentsummer Special,Agartala,Bengaluru Cantonment
56,12504,Agartala Bengaluru Cantt Humsafar Express,Agartala,Bengaluru Cantonment
57,5488,Agartala Bengaluru Cantt Humsafar Super Fast Special,Agartala,Bengaluru Cantonment
58,5626,Agartala Deoghar Special,Agartala,Deoghar
59,15626,Agartala Deoghar Weekly Express,Agartala,Deoghar
60,7675,Agartala Dharmanagar DEMU Special,Agartala,Dharmanagar
61,7679,Agartala Dharmanagar DEMU Special,Agartala,Dharmanagar
62,55675,Agartala Dharmanagar Passenger,Agartala,Dharmanagar
63,55679,Agartala Dharmanagar Passenger,Agartala,Dharmanagar
